User ID,Allocation Status,Slice,Ground Truth,Intent Correct,CQI,Bandwidth (MHz),Rate (Mbps),Latency (ms),Adjustments Made,eMBB Total Rate Before (Mbps),eMBB Total Rate After (Mbps),URLLC Total Rate Before (Mbps),URLLC Total Rate After (Mbps),mMTC Total Rate Before (Mbps),mMTC Total Rate After (Mbps),Avg Resource Util Before (%),Avg Resource Util After (%),Token Used,Prompt Tokens,Completion Tokens,LLM Calls,Request
1,Success,eMBB,eMBB,Yes,15,10.0,150.0,50.0,No,0,150.0,0,0,0,0,0.0,7.69,0,0,0,0,I need to check weather forecasts

SUMMARY STATISTICS
Average Resource Utilization (%),7.69
Final Resource Utilization (%),7.69
Final eMBB Total Rate (Mbps),150.0
Final URLLC Total Rate (Mbps),0
Final mMTC Total Rate (Mbps),0

INTENT UNDERSTANDING EVALUATION
Total Evaluated Requests,1
Correctly Identified Intents,1
Intent Understanding Rate (%),100.00
