Round,MaxUsers,UserID,UserType,CQI,Bandwidth,Rate,TotalBandwidth,ResourceUtilization,OverallUtilization,TotalEMBBRate,TotalURLLCRate,TotalMMTCRate,,,
1,1,1,eMBB,15,20,302.7,20,22.22,15.38,302.7,0,0,,,84.62
2,5,1,eMBB,15,17.92,271.2,90,100,69.23,1015.9,0,0,,,30.77
2,5,2,eMBB,4,18.33,100,90,100,69.23,1015.9,0,0,,,30.77
2,5,3,eMBB,15,17.92,271.2,90,100,69.23,1015.9,0,0,,,30.77
2,5,4,eMBB,9,17.92,170.48,90,100,69.23,1015.9,0,0,,,30.77
2,5,5,eMBB,11,17.92,203.02,90,100,69.23,1015.9,0,0,,,30.77
3,10,1,eMBB,15,10.19,154.28,97,45.56,74.62,1008.79,47.57,13.95,,,25.38
3,10,2,eMBB,4,18.33,100,97,45.56,74.62,1008.79,47.57,13.95,,,25.38
3,10,3,eMBB,15,10.19,154.26,97,45.56,74.62,1008.79,47.57,13.95,,,25.38
3,10,4,eMBB,9,10.51,100,97,45.56,74.62,1008.79,47.57,13.95,,,25.38
3,10,5,eMBB,11,10.2,115.56,97,45.56,74.62,1008.79,47.57,13.95,,,25.38
3,10,6,eMBB,12,10.19,125,97,45.56,74.62,1008.79,47.57,13.95,,,25.38
3,10,9,eMBB,12,10.19,125,97,45.56,74.62,1008.79,47.57,13.95,,,25.38
3,10,10,eMBB,13,10.19,134.69,97,45.56,74.62,1008.79,47.57,13.95,,,25.38
3,10,8,URLLC,9,5,47.57,97,45.56,74.62,1008.79,47.57,13.95,,,25.38
3,10,7,mMTC,6,2,13.95,97,45.56,74.62,1008.79,47.57,13.95,,,25.38
4,15,1,eMBB,15,6.61,100,107,56.67,82.31,881.38,145.7,13.95,,,17.69
4,15,2,eMBB,4,18.33,100,107,56.67,82.31,881.38,145.7,13.95,,,17.69
4,15,3,eMBB,15,6.61,100,107,56.67,82.31,881.38,145.7,13.95,,,17.69
4,15,4,eMBB,9,10.51,100,107,56.67,82.31,881.38,145.7,13.95,,,17.69
4,15,5,eMBB,11,8.82,100,107,56.67,82.31,881.38,145.7,13.95,,,17.69
4,15,6,eMBB,12,8.15,100,107,56.67,82.31,881.38,145.7,13.95,,,17.69
4,15,9,eMBB,12,6.97,85.47,107,56.67,82.31,881.38,145.7,13.95,,,17.69
4,15,10,eMBB,13,6,79.27,107,56.67,82.31,881.38,145.7,13.95,,,17.69
4,15,12,eMBB,5,6,37.16,107,56.67,82.31,881.38,145.7,13.95,,,17.69
4,15,14,eMBB,4,6,32.73,107,56.67,82.31,881.38,145.7,13.95,,,17.69
4,15,15,eMBB,7,6,46.74,107,56.67,82.31,881.38,145.7,13.95,,,17.69
4,15,8,URLLC,9,5,47.57,107,56.67,82.31,881.38,145.7,13.95,,,17.69
4,15,11,URLLC,14,5,70.85,107,56.67,82.31,881.38,145.7,13.95,,,17.69
4,15,13,URLLC,4,5,27.28,107,56.67,82.31,881.38,145.7,13.95,,,17.69
4,15,7,mMTC,6,2,13.95,107,56.67,82.31,881.38,145.7,13.95,,,17.69
5,20,1,eMBB,15,6.61,100,122,73.33,93.85,868.61,263.75,13.95,,,6.15
5,20,2,eMBB,4,17.39,94.89,122,73.33,93.85,868.61,263.75,13.95,,,6.15
5,20,3,eMBB,15,6,90.81,122,73.33,93.85,868.61,263.75,13.95,,,6.15
5,20,4,eMBB,9,6,57.09,122,73.33,93.85,868.61,263.75,13.95,,,6.15
