Round,MaxUsers,UserID,UserType,CQI,Bandwidth,Rate,TotalBandwidth,ResourceUtilization,OverallUtilization,TotalEMBBRate,TotalURLLCRate,TotalMMTCRate,,,totoal_rate
1,1,1,mMTC,3,2,9.53,2,20,1.54,0,0,9.53,,98.46,9.53
2,5,2,eMBB,11,20,226.64,45.51,49.79,35.01,399.42,0,40.44,,64.99,439.86
2,5,5,eMBB,8,20,172.78,45.51,49.79,35.01,399.42,0,40.44,,64.99,439.86
2,5,1,mMTC,3,2,9.53,45.51,49.79,35.01,399.42,0,40.44,,64.99,439.86
2,5,3,mMTC,13,1.51,20,45.51,49.79,35.01,399.42,0,40.44,,64.99,439.86
2,5,4,mMTC,4,2,10.91,45.51,49.79,35.01,399.42,0,40.44,,64.99,439.86
3,10,2,eMBB,11,20,226.64,94.32,66.26,72.55,647.15,38.95,80.81,,27.45,766.91
3,10,5,eMBB,8,20,172.78,94.32,66.26,72.55,647.15,38.95,80.81,,27.45,766.91
3,10,6,eMBB,5,20,123.87,94.32,66.26,72.55,647.15,38.95,80.81,,27.45,766.91
3,10,10,eMBB,5,20,123.87,94.32,66.26,72.55,647.15,38.95,80.81,,27.45,766.91
3,10,9,URLLC,7,5,38.95,94.32,66.26,72.55,647.15,38.95,80.81,,27.45,766.91
3,10,1,mMTC,3,2,9.53,94.32,66.26,72.55,647.15,38.95,80.81,,27.45,766.91
3,10,3,mMTC,13,2,26.42,94.32,66.26,72.55,647.15,38.95,80.81,,27.45,766.91
3,10,4,mMTC,4,2,10.91,94.32,66.26,72.55,647.15,38.95,80.81,,27.45,766.91
3,10,7,mMTC,6,2,13.95,94.32,66.26,72.55,647.15,38.95,80.81,,27.45,766.91
3,10,8,mMTC,15,1.32,20,94.32,66.26,72.55,647.15,38.95,80.81,,27.45,766.91
4,15,2,eMBB,11,18.19,206.07,120,88.89,92.31,754.66,163.05,83.29,,7.69,1001
4,15,5,eMBB,8,18.1,156.41,120,88.89,92.31,754.66,163.05,83.29,,7.69,1001
4,15,6,eMBB,5,17.9,110.86,120,88.89,92.31,754.66,163.05,83.29,,7.69,1001
4,15,10,eMBB,5,17.89,110.77,120,88.89,92.31,754.66,163.05,83.29,,7.69,1001
4,15,13,eMBB,9,17.92,170.55,120,88.89,92.31,754.66,163.05,83.29,,7.69,1001
4,15,9,URLLC,7,5,38.95,120,88.89,92.31,754.66,163.05,83.29,,7.69,1001
4,15,12,URLLC,3,5,23.82,120,88.89,92.31,754.66,163.05,83.29,,7.69,1001
4,15,14,URLLC,12,5,61.33,120,88.89,92.31,754.66,163.05,83.29,,7.69,1001
4,15,15,URLLC,7,5,38.95,120,88.89,92.31,754.66,163.05,83.29,,7.69,1001
4,15,1,mMTC,3,1.79,8.53,120,88.89,92.31,754.66,163.05,83.29,,7.69,1001
4,15,3,mMTC,13,1.51,20,120,88.89,92.31,754.66,163.05,83.29,,7.69,1001
4,15,4,mMTC,4,1.79,9.78,120,88.89,92.31,754.66,163.05,83.29,,7.69,1001
4,15,7,mMTC,6,1.79,12.49,120,88.89,92.31,754.66,163.05,83.29,,7.69,1001
4,15,8,mMTC,15,1.32,20,120,88.89,92.31,754.66,163.05,83.29,,7.69,1001
4,15,11,mMTC,6,1.79,12.49,120,88.89,92.31,754.66,163.05,83.29,,7.69,1001
5,20,2,eMBB,11,14.43,163.51,130,100,100,775.61,238.94,88.11,,0,1102.66
5,20,5,eMBB,8,14.44,124.74,130,100,100,775.61,238.94,88.11,,0,1102.66
5,20,6,eMBB,5,16.15,100,130,100,100,775.61,238.94,88.11,,0,1102.66
5,20,10,eMBB,5,16.15,100,130,100,100,775.61,238.94,88.11,,0,1102.66
5,20,13,eMBB,9,14.42,137.22,130,100,100,775.61,238.94,88.11,,0,1102.66
5,20,20,eMBB,10,14.42,150.14,130,100,100,775.61,238.94,88.11,,0,1102.66
5,20,9,URLLC,7,5,38.95,130,100,100,775.61,238.94,88.11,,0,1102.66
5,20,12,URLLC,3,5,23.82,130,100,100,775.61,238.94,88.11,,0,1102.66
5,20,14,URLLC,12,5,61.33,130,100,100,775.61,238.94,88.11,,0,1102.66
5,20,15,URLLC,7,5,38.95,130,100,100,775.61,238.94,88.11,,0,1102.66
5,20,16,URLLC,10,5,52.07,130,100,100,775.61,238.94,88.11,,0,1102.66
5,20,18,URLLC,3,5,23.82,130,100,100,775.61,238.94,88.11,,0,1102.66
5,20,1,mMTC,3,1.25,5.96,130,100,100,775.61,238.94,88.11,,0,1102.66
5,20,3,mMTC,13,1.25,16.51,130,100,100,775.61,238.94,88.11,,0,1102.66
