Round,MaxUsers,UserID,UserType,CQI,Bandwidth,Rate,TotalBandwidth,ResourceUtilization,OverallUtilization,TotalEMBBRate,TotalURLLCRate,TotalMMTCRate,,,
1,1,1,eMBB,8,20,172.78,20,22.22,15.38,172.78,0,0,,172.78,84.62
2,5,1,eMBB,8,20,172.78,37,30.74,28.46,172.78,158.47,17.28,,348.53,71.54
2,5,2,URLLC,5,5,30.97,37,30.74,28.46,172.78,158.47,17.28,,348.53,71.54
2,5,3,URLLC,11,5,56.66,37,30.74,28.46,172.78,158.47,17.28,,348.53,71.54
2,5,5,URLLC,14,5,70.85,37,30.74,28.46,172.78,158.47,17.28,,348.53,71.54
2,5,4,mMTC,8,2,17.28,37,30.74,28.46,172.78,158.47,17.28,,348.53,71.54
3,10,1,eMBB,8,20,172.78,53,61.85,40.77,172.78,236.53,67.47,,476.78,59.23
3,10,2,URLLC,5,5,30.97,53,61.85,40.77,172.78,236.53,67.47,,476.78,59.23
3,10,3,URLLC,11,5,56.66,53,61.85,40.77,172.78,236.53,67.47,,476.78,59.23
3,10,5,URLLC,14,5,70.85,53,61.85,40.77,172.78,236.53,67.47,,476.78,59.23
3,10,7,URLLC,6,5,34.87,53,61.85,40.77,172.78,236.53,67.47,,476.78,59.23
3,10,8,URLLC,8,5,43.19,53,61.85,40.77,172.78,236.53,67.47,,476.78,59.23
3,10,4,mMTC,8,2,17.28,53,61.85,40.77,172.78,236.53,67.47,,476.78,59.23
3,10,6,mMTC,7,2,15.58,53,61.85,40.77,172.78,236.53,67.47,,476.78,59.23
3,10,9,mMTC,7,2,15.58,53,61.85,40.77,172.78,236.53,67.47,,476.78,59.23
3,10,10,mMTC,9,2,19.03,53,61.85,40.77,172.78,236.53,67.47,,476.78,59.23
4,15,1,eMBB,8,20,172.78,100,88.89,76.92,535.86,308.37,83.05,,927.28,23.08
4,15,13,eMBB,8,20,172.78,100,88.89,76.92,535.86,308.37,83.05,,927.28,23.08
4,15,15,eMBB,9,20,190.3,100,88.89,76.92,535.86,308.37,83.05,,927.28,23.08
4,15,2,URLLC,5,4.29,26.56,100,88.89,76.92,535.86,308.37,83.05,,927.28,23.08
4,15,3,URLLC,11,4.29,48.56,100,88.89,76.92,535.86,308.37,83.05,,927.28,23.08
4,15,5,URLLC,14,4.29,60.72,100,88.89,76.92,535.86,308.37,83.05,,927.28,23.08
4,15,7,URLLC,6,4.29,29.89,100,88.89,76.92,535.86,308.37,83.05,,927.28,23.08
4,15,8,URLLC,8,4.29,37.02,100,88.89,76.92,535.86,308.37,83.05,,927.28,23.08
4,15,11,URLLC,15,4.29,64.86,100,88.89,76.92,535.86,308.37,83.05,,927.28,23.08
4,15,14,URLLC,9,4.29,40.77,100,88.89,76.92,535.86,308.37,83.05,,927.28,23.08
4,15,4,mMTC,8,2,17.28,100,88.89,76.92,535.86,308.37,83.05,,927.28,23.08
4,15,6,mMTC,7,2,15.58,100,88.89,76.92,535.86,308.37,83.05,,927.28,23.08
4,15,9,mMTC,7,2,15.58,100,88.89,76.92,535.86,308.37,83.05,,927.28,23.08
4,15,10,mMTC,9,2,19.03,100,88.89,76.92,535.86,308.37,83.05,,927.28,23.08
4,15,12,mMTC,7,2,15.58,100,88.89,76.92,535.86,308.37,83.05,,927.28,23.08
5,20,1,eMBB,8,17.88,154.44,130,100,100,907.58,291.79,83.6,,1282.97,0
5,20,13,eMBB,8,17.89,154.52,130,100,100,907.58,291.79,83.6,,1282.97,0
5,20,15,eMBB,9,18.12,172.38,130,100,100,907.58,291.79,83.6,,1282.97,0
