Round,MaxUsers,UserID,UserType,CQI,Bandwidth,Rate,TotalBandwidth,ResourceUtilization,OverallUtilization,TotalEMBBRate,TotalURLLCRate,TotalMMTCRate,,,
1,1,1,URLLC,2,5,20.62,5,16.67,3.85,0,20.62,0,,20.62,96.15
2,5,1,URLLC,2,5,20.62,18.32,41.61,14.09,0,120.12,29.53,,149.65,85.91
2,5,2,URLLC,3,5,23.82,18.32,41.61,14.09,0,120.12,29.53,,149.65,85.91
2,5,4,URLLC,15,5,75.68,18.32,41.61,14.09,0,120.12,29.53,,149.65,85.91
2,5,3,mMTC,15,1.32,20,18.32,41.61,14.09,0,120.12,29.53,,149.65,85.91
2,5,5,mMTC,3,2,9.53,18.32,41.61,14.09,0,120.12,29.53,,149.65,85.91
3,10,8,eMBB,4,20,109.11,88.32,61.07,67.94,357.68,218.24,29.53,,605.45,32.06
3,10,9,eMBB,6,20,139.46,88.32,61.07,67.94,357.68,218.24,29.53,,605.45,32.06
3,10,10,eMBB,4,20,109.11,88.32,61.07,67.94,357.68,218.24,29.53,,605.45,32.06
3,10,1,URLLC,2,5,20.62,88.32,61.07,67.94,357.68,218.24,29.53,,605.45,32.06
3,10,2,URLLC,3,5,23.82,88.32,61.07,67.94,357.68,218.24,29.53,,605.45,32.06
3,10,4,URLLC,15,5,75.68,88.32,61.07,67.94,357.68,218.24,29.53,,605.45,32.06
3,10,6,URLLC,4,5,27.28,88.32,61.07,67.94,357.68,218.24,29.53,,605.45,32.06
3,10,7,URLLC,14,5,70.85,88.32,61.07,67.94,357.68,218.24,29.53,,605.45,32.06
3,10,3,mMTC,15,1.32,20,88.32,61.07,67.94,357.68,218.24,29.53,,605.45,32.06
3,10,5,mMTC,3,2,9.53,88.32,61.07,67.94,357.68,218.24,29.53,,605.45,32.06
4,15,8,eMBB,4,18.33,100,125.32,84.4,96.4,599.09,242.07,43.48,,884.64,3.6
4,15,9,eMBB,6,14.34,100,125.32,84.4,96.4,599.09,242.07,43.48,,884.64,3.6
4,15,10,eMBB,4,18.33,100,125.32,84.4,96.4,599.09,242.07,43.48,,884.64,3.6
4,15,11,eMBB,3,20.99,100,125.32,84.4,96.4,599.09,242.07,43.48,,884.64,3.6
4,15,13,eMBB,9,10.51,100,125.32,84.4,96.4,599.09,242.07,43.48,,884.64,3.6
4,15,15,eMBB,13,7.5,99.09,125.32,84.4,96.4,599.09,242.07,43.48,,884.64,3.6
4,15,1,URLLC,2,5,20.62,125.32,84.4,96.4,599.09,242.07,43.48,,884.64,3.6
4,15,2,URLLC,3,5,23.82,125.32,84.4,96.4,599.09,242.07,43.48,,884.64,3.6
4,15,4,URLLC,15,5,75.68,125.32,84.4,96.4,599.09,242.07,43.48,,884.64,3.6
4,15,6,URLLC,4,5,27.28,125.32,84.4,96.4,599.09,242.07,43.48,,884.64,3.6
4,15,7,URLLC,14,5,70.85,125.32,84.4,96.4,599.09,242.07,43.48,,884.64,3.6
4,15,12,URLLC,3,5,23.82,125.32,84.4,96.4,599.09,242.07,43.48,,884.64,3.6
4,15,3,mMTC,15,1.32,20,125.32,84.4,96.4,599.09,242.07,43.48,,884.64,3.6
4,15,5,mMTC,3,2,9.53,125.32,84.4,96.4,599.09,242.07,43.48,,884.64,3.6
4,15,14,mMTC,6,2,13.95,125.32,84.4,96.4,599.09,242.07,43.48,,884.64,3.6
5,20,8,eMBB,4,18.33,100,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,9,eMBB,6,14.34,100,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,10,eMBB,4,18.33,100,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,11,eMBB,3,20.99,100,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,13,eMBB,9,6.01,57.18,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,15,eMBB,13,6,79.27,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,20,eMBB,11,6,67.99,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,1,URLLC,2,3.75,15.46,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,2,URLLC,3,3.75,17.88,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,4,URLLC,15,3.75,56.75,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,6,URLLC,4,3.75,20.46,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,7,URLLC,14,3.75,53.13,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,12,URLLC,3,3.75,17.87,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,16,URLLC,9,3.75,35.68,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,17,URLLC,15,3.75,56.75,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,3,mMTC,15,1.32,20,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,5,mMTC,3,2,9.53,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,14,mMTC,6,2,13.95,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,18,mMTC,3,2,9.53,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
5,20,19,mMTC,2,2,8.25,129.32,97.74,99.48,604.44,273.97,61.25,,939.66,0.52
6,25,8,eMBB,4,18.33,100,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,9,eMBB,6,14.34,100,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,10,eMBB,4,15.33,83.63,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,11,eMBB,3,6,28.59,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,13,eMBB,9,6,57.09,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,15,eMBB,13,6,79.27,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,20,eMBB,11,6,67.99,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,21,eMBB,6,6,41.84,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,23,eMBB,12,6,73.59,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,24,eMBB,4,6,32.73,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,1,URLLC,2,3,12.37,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,2,URLLC,3,3,14.29,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,4,URLLC,15,3,45.42,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,6,URLLC,4,3,16.37,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,7,URLLC,14,3,42.52,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,12,URLLC,3,3,14.29,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,16,URLLC,9,3,28.54,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,17,URLLC,15,3,45.42,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,22,URLLC,2,3,12.37,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,25,URLLC,14,3,42.52,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,3,mMTC,15,1.32,20,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,5,mMTC,3,2,9.53,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,14,mMTC,6,2,13.95,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,18,mMTC,3,2,9.53,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
6,25,19,mMTC,2,2,8.25,129.32,97.74,99.48,664.73,274.1,61.25,,1000.08,0.52
7,30,8,eMBB,4,18.33,100,130,100,100,673.84,264.06,61.95,,999.85,0
7,30,9,eMBB,6,14.34,100,130,100,100,673.84,264.06,61.95,,999.85,0
