Round,MaxUsers,UserID,UserType,CQI,Bandwidth,Rate,TotalBandwidth,ResourceUtilization,OverallUtilization,TotalEMBBRate,TotalURLLCRate,TotalMMTCRate,,,,
1,1,1,eMBB,4,20,109.11,20,22.22,15.38,109.11,0,0,,,109.11,84.62
2,5,1,eMBB,4,20,109.11,67,34.44,51.54,360.2,38.95,10.91,,,410.06,48.46
2,5,4,eMBB,7,20,155.8,67,34.44,51.54,360.2,38.95,10.91,,,410.06,48.46
2,5,5,eMBB,3,20,95.29,67,34.44,51.54,360.2,38.95,10.91,,,410.06,48.46
2,5,3,URLLC,7,5,38.95,67,34.44,51.54,360.2,38.95,10.91,,,410.06,48.46
2,5,2,mMTC,4,2,10.91,67,34.44,51.54,360.2,38.95,10.91,,,410.06,48.46
3,10,1,eMBB,4,18.33,100,109,63.33,83.85,695.33,149.49,24.86,,,869.68,16.15
3,10,4,eMBB,7,12.84,100,109,63.33,83.85,695.33,149.49,24.86,,,869.68,16.15
3,10,5,eMBB,3,20.99,100,109,63.33,83.85,695.33,149.49,24.86,,,869.68,16.15
3,10,8,eMBB,4,18.33,100,109,63.33,83.85,695.33,149.49,24.86,,,869.68,16.15
3,10,9,eMBB,15,19.51,295.33,109,63.33,83.85,695.33,149.49,24.86,,,869.68,16.15
3,10,3,URLLC,7,5,38.95,109,63.33,83.85,695.33,149.49,24.86,,,869.68,16.15
3,10,7,URLLC,6,5,34.87,109,63.33,83.85,695.33,149.49,24.86,,,869.68,16.15
3,10,10,URLLC,15,5,75.68,109,63.33,83.85,695.33,149.49,24.86,,,869.68,16.15
3,10,2,mMTC,4,2,10.91,109,63.33,83.85,695.33,149.49,24.86,,,869.68,16.15
3,10,6,mMTC,6,2,13.95,109,63.33,83.85,695.33,149.49,24.86,,,869.68,16.15
4,15,1,eMBB,4,18.33,100,125.41,84.7,96.47,695.33,251.22,44.86,,,991.41,3.53
4,15,4,eMBB,7,12.84,100,125.41,84.7,96.47,695.33,251.22,44.86,,,991.41,3.53
4,15,5,eMBB,3,20.99,100,125.41,84.7,96.47,695.33,251.22,44.86,,,991.41,3.53
4,15,8,eMBB,4,18.33,100,125.41,84.7,96.47,695.33,251.22,44.86,,,991.41,3.53
4,15,9,eMBB,15,6.61,100,125.41,84.7,96.47,695.33,251.22,44.86,,,991.41,3.53
4,15,15,eMBB,15,12.91,195.33,125.41,84.7,96.47,695.33,251.22,44.86,,,991.41,3.53
4,15,3,URLLC,7,5,38.95,125.41,84.7,96.47,695.33,251.22,44.86,,,991.41,3.53
4,15,7,URLLC,6,5,34.87,125.41,84.7,96.47,695.33,251.22,44.86,,,991.41,3.53
4,15,10,URLLC,15,5,75.68,125.41,84.7,96.47,695.33,251.22,44.86,,,991.41,3.53
4,15,11,URLLC,3,5,23.82,125.41,84.7,96.47,695.33,251.22,44.86,,,991.41,3.53
4,15,12,URLLC,7,5,38.95,125.41,84.7,96.47,695.33,251.22,44.86,,,991.41,3.53
4,15,13,URLLC,7,5,38.95,125.41,84.7,96.47,695.33,251.22,44.86,,,991.41,3.53
4,15,2,mMTC,4,2,10.91,125.41,84.7,96.47,695.33,251.22,44.86,,,991.41,3.53
4,15,6,mMTC,6,2,13.95,125.41,84.7,96.47,695.33,251.22,44.86,,,991.41,3.53
4,15,14,mMTC,14,1.41,20,125.41,84.7,96.47,695.33,251.22,44.86,,,991.41,3.53
5,20,1,eMBB,4,18.33,100,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,4,eMBB,7,12.84,100,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,5,eMBB,3,20.99,100,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,8,eMBB,4,18.33,100,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,9,eMBB,15,6.61,100,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,15,eMBB,15,6.61,100,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,19,eMBB,8,6.3,54.42,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,3,URLLC,7,3.75,29.22,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,7,URLLC,6,3.75,26.14,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,10,URLLC,15,3.75,56.77,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,11,URLLC,3,3.75,17.87,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,12,URLLC,7,3.75,29.22,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,13,URLLC,7,3.75,29.2,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,18,URLLC,6,3.75,26.15,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,20,URLLC,9,3.75,35.69,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,2,mMTC,4,2,10.91,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,6,mMTC,6,2,13.95,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,14,mMTC,14,1.41,20,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,16,mMTC,9,2,19.03,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
5,20,17,mMTC,4,2,10.91,129.41,98.04,99.55,654.42,250.25,74.8,,,979.47,0.45
6,25,1,eMBB,4,18.33,100,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,4,eMBB,7,12.84,100,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,5,eMBB,3,20.99,100,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,8,eMBB,4,18.33,100,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,9,eMBB,15,6.61,100,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,15,eMBB,15,6.61,100,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,19,eMBB,8,6.3,54.42,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,3,URLLC,7,2.73,21.24,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,7,URLLC,6,2.73,19.02,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,10,URLLC,15,2.73,41.29,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,11,URLLC,3,2.73,12.99,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,12,URLLC,7,2.73,21.25,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,13,URLLC,7,2.73,21.25,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,18,URLLC,6,2.73,19.02,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,20,URLLC,9,2.73,25.96,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,21,URLLC,6,2.73,19.02,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,23,URLLC,4,2.73,14.88,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,24,URLLC,4,2.73,14.88,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,2,mMTC,4,1.43,7.81,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,6,mMTC,6,1.43,9.98,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,14,mMTC,14,1.41,20,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,16,mMTC,9,1.43,13.62,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,17,mMTC,4,1.43,7.81,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,22,mMTC,7,1.43,11.15,130,100,100,654.42,230.78,79.24,,,964.44,0
6,25,25,mMTC,5,1.43,8.86,130,100,100,654.42,230.78,79.24,,,964.44,0
7,30,1,eMBB,4,18.33,100,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,4,eMBB,7,12.84,100,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,5,eMBB,3,20.99,100,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,8,eMBB,4,7.84,42.79,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,9,eMBB,15,6,90.81,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,15,eMBB,15,6,90.81,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,19,eMBB,8,6,51.83,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,26,eMBB,7,6,46.74,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,29,eMBB,5,6,37.16,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,3,URLLC,7,2.73,21.24,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,7,URLLC,6,2.73,19.02,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,10,URLLC,15,2.73,41.29,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,11,URLLC,3,2.73,12.99,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,12,URLLC,7,2.73,21.25,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,13,URLLC,7,2.73,21.25,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,18,URLLC,6,2.73,19.02,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,20,URLLC,9,2.73,25.96,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,21,URLLC,6,2.73,19.02,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,23,URLLC,4,2.73,14.88,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,24,URLLC,4,2.73,14.88,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,2,mMTC,4,1,5.46,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,6,mMTC,6,1,6.97,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,14,mMTC,14,1,14.17,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,16,mMTC,9,1,9.51,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,17,mMTC,4,1,5.46,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,22,mMTC,7,1,7.79,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,25,mMTC,5,1,6.19,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,27,mMTC,4,1,5.46,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,28,mMTC,9,1,9.52,130,100,100,660.15,230.78,81.85,,,972.78,0
7,30,30,mMTC,11,1,11.33,130,100,100,660.15,230.78,81.85,,,972.78,0
