User ID,Allocation Status,Slice,Ground Truth,Intent Correct,CQI,Bandwidth (MHz),Rate (Mbps),Latency (ms),Adjustments Made,eMBB Total Rate Before (Mbps),eMBB Total Rate After (Mbps),URLLC Total Rate Before (Mbps),URLLC Total Rate After (Mbps),mMTC Total Rate Before (Mbps),mMTC Total Rate After (Mbps),Avg Resource Util Before (%),Avg Resource Util After (%),Request
1,Success,URLLC,URLLC,Yes,7,1.0,7.79,5.0,No,0,0,0,7.79,0,0,0.0,0.77,I need to synchronize distributed financial ledgers instantly
2,Success,eMBB,eMBB,Yes,7,20,155.8,40.0,No,0,155.8,7.79,7.79,0,0,0.77,16.15,I want to use augmented reality navigation
3,Success,eMBB,eMBB,Yes,10,10.0,104.14,50.0,No,155.8,259.94,7.79,7.79,0,0,16.15,23.85,I want to listen to low-quality audio streaming
4,Success,eMBB,eMBB,Yes,8,20,172.78,50.0,No,259.94,432.72,7.79,7.79,0,0,23.85,39.23,I need to participate in a video conference meeting
5,Success,URLLC,URLLC,Yes,9,5.0,47.57,5.0,No,432.72,432.72,7.79,55.36,0,0,39.23,43.08,I need to deploy early warning systems for natural disasters
6,Success,mMTC,mMTC,Yes,7,0.9,7.01,1000.0,No,432.72,432.72,55.36,55.36,0,7.01,43.08,43.77,My smart trash can needs to signal that it's full
7,Success,eMBB,eMBB,Yes,8,20,172.78,80.0,No,432.72,605.5,55.36,55.36,7.01,7.01,43.77,59.15,I need to download large files
8,Success,mMTC,mMTC,Yes,7,0.9,7.01,500.0,No,605.5,605.5,55.36,55.36,7.01,14.02,59.15,59.85,I need to check the status of my smart home sensors
9,Success,URLLC,URLLC,Yes,7,1.0,7.79,5.0,No,605.5,605.5,55.36,63.15,14.02,14.02,59.85,60.62,I need microsecond-level latency for high-frequency tradin
10,Success,eMBB,eMBB,Yes,10,10.0,104.14,80.0,No,605.5,709.64,63.15,63.15,14.02,14.02,60.62,68.31,I need to download large files
11,Success,URLLC,URLLC,Yes,11,5.0,56.66,5.0,No,709.64,709.64,63.15,119.81,14.02,14.02,68.31,72.15,I need vehicle-to-vehicle collision avoidance systems
12,Success,eMBB,eMBB,Yes,15,20,302.7,40.0,Yes,709.64,925.95,119.81,119.81,14.02,14.02,72.15,79.85,I need to use cloud-based AI services for image processing
13,Success,URLLC,URLLC,Yes,10,1.0,10.41,3.0,No,925.95,925.95,119.81,130.22,14.02,14.02,79.85,80.62,I need to control remote diagnostic equipment in rural clinics
14,Success,mMTC,mMTC,Yes,9,2.9,27.59,1000.0,No,925.95,925.95,130.22,130.22,14.02,41.61,80.62,82.85,I need to monitor soil moisture levels in a large farm
15,Success,URLLC,URLLC,Yes,15,1.0,15.14,3.0,No,925.95,925.95,130.22,145.36,41.61,41.61,82.85,83.62,I need to control precision CNC machines with zero tolerance for delay
16,Success,mMTC,mMTC,Yes,6,0.9,6.28,500.0,No,925.95,925.95,145.36,145.36,41.61,47.89,83.62,84.31,Smart city parking sensor reporting availability
17,Success,eMBB,eMBB,Yes,13,20,264.25,40.0,Yes,925.95,938.92,145.36,145.36,47.89,47.89,84.31,84.31,I need to check weather forecasts
18,Success,URLLC,URLLC,Yes,11,1.0,11.33,5.0,No,938.92,938.92,145.36,156.69,47.89,47.89,84.31,85.08,I need my autonomous vehicle to communicate in real time
19,Success,URLLC,URLLC,Yes,5,1.0,6.19,5.0,No,938.92,938.92,156.69,162.88,47.89,47.89,85.08,85.85,I need to detect and isolate power grid faults instantly
20,Success,URLLC,URLLC,Yes,12,1.0,12.27,1.0,No,938.92,938.92,162.88,175.15,47.89,47.89,85.85,86.62,I need reliable connectivity for implanted medical devices
21,Success,mMTC,mMTC,Yes,12,0.9,11.04,1000.0,No,938.92,938.92,175.15,175.15,47.89,58.93,86.62,87.31,I need to track the location of a shipping container
22,Success,URLLC,URLLC,Yes,6,1.0,6.97,5.0,No,938.92,938.92,175.15,182.12,58.93,58.93,87.31,88.08,I need instant alerts for life-threatening patient conditions
23,Failed,eMBB,eMBB,Yes,8,20,172.78,50.0,No,938.92,938.92,182.12,182.12,58.93,58.93,88.08,88.08,I want to stream music while browsing social media
24,Success,mMTC,mMTC,Yes,7,2.9,22.59,500.0,No,938.92,938.92,182.12,182.12,58.93,81.52,88.08,90.31,A network of environmental sensors needs to report air quality
25,Failed,eMBB,eMBB,Yes,15,20,302.7,40.0,No,938.92,938.92,182.12,182.12,81.52,81.52,90.31,90.31,I want to remotely access my work computer
26,Failed,eMBB,eMBB,Yes,9,20,190.3,50.0,No,938.92,938.92,182.12,182.12,81.52,81.52,90.31,90.31,I want to stream a live sports event in HD
27,Success,URLLC,mMTC,No,9,1.0,9.51,5.0,No,938.92,938.92,182.12,191.63,81.52,81.52,90.31,91.08,My smart meter needs to report its reading
28,Success,URLLC,mMTC,No,6,1.0,6.97,5.0,No,938.92,938.92,191.63,198.6,81.52,81.52,91.08,91.85,I need to check the status of my smart home sensors
29,Success,URLLC,URLLC,Yes,13,5.0,66.06,3.0,No,938.92,938.92,198.6,264.66,81.52,81.52,91.85,95.69,I need to control critical infrastructure with zero downtime
30,Failed,eMBB,eMBB,Yes,8,20,172.78,40.0,No,938.92,938.92,264.66,264.66,81.52,81.52,95.69,95.69,I need to check weather forecasts

SUMMARY STATISTICS
Average Resource Utilization (%),95.69
Final Resource Utilization (%),95.69
Final eMBB Total Rate (Mbps),938.92
Final URLLC Total Rate (Mbps),264.66
Final mMTC Total Rate (Mbps),81.52

INTENT UNDERSTANDING EVALUATION
Total Evaluated Requests,30
Correctly Identified Intents,28
Intent Understanding Rate (%),93.33
